08-06-2021 05:56:52 - ERROR - v: 7.1.8 - m: 30.2 MB, u: 1 - 
08-06-2021 06:00:24 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
08-06-2021 06:03:09 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
08-06-2021 06:03:36 - ERROR - v: 7.1.8 - m: 30.2 MB, u: 1 - 
08-06-2021 06:05:58 - ERROR - v: 7.1.8 - m: 30.2 MB, u: 1 - 
08-06-2021 06:13:40 - ERROR - v: 7.1.8 - m: 30.2 MB, u: 1 - 
11-06-2021 13:58:03 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 13:58:22 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 13:59:26 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 13:59:46 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 13:59:56 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:13:56 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 14:14:07 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:14:18 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 14:15:13 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 14:15:18 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:15:27 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:15:32 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:15:52 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:17:03 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:17:28 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 14:17:59 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:18:02 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:18:15 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:18:20 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:21:21 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:21:26 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:22:01 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:22:41 - ERROR - v: 7.1.8 - m: 5.6 MB, u: 1 - 
11-06-2021 14:23:00 - ERROR - v: 7.1.8 - m: 5.4 MB, u: 1 - 
11-06-2021 14:23:42 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:24:03 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:25:23 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:27:35 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:27:50 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:32:32 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
11-06-2021 14:37:20 - ERROR - v: 7.1.8 - m: 5.6 MB, u: 1 - 
11-06-2021 14:37:41 - ERROR - v: 7.1.8 - m: 5.5 MB, u: 1 - 
12-06-2021 08:27:41 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:27:57 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:28:06 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:28:18 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:28:25 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:29:15 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
12-06-2021 08:29:23 - ERROR - v: 7.1.8 - m: 30.3 MB, u: 1 - 
29-06-2021 11:15:15 - ERROR - v: 7.1.8 - m: 33.3 MB, u: 1 - 
29-06-2021 11:15:37 - ERROR - v: 7.1.8 - m: 33.3 MB, u: 1 - 
29-06-2021 11:15:41 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:15:48 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:15:56 - ERROR - v: 7.1.8 - m: 33.3 MB, u: 1 - 
29-06-2021 11:16:12 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:16:42 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:17:21 - ERROR - v: 7.1.8 - m: 33.5 MB, u: 1 - 
29-06-2021 11:17:48 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:18:05 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:18:09 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:18:30 - ERROR - v: 7.1.8 - m: 33.2 MB, u: 1 - 
29-06-2021 11:18:38 - ERROR - v: 7.1.8 - m: 33.3 MB, u: 1 - 
29-06-2021 11:18:53 - ERROR - v: 7.1.8 - m: 33.3 MB, u: 1 - 
